cardCategory,sport,year,manufacturer,brand,product,setName,series,cardNumber,subjectName,team,parallel,variation,rookie,autograph,relic,serialNumber,printRun,notes,sourceName,sourceUrl,permissionStatus
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,101,Mike Singletary,Chicago Bears,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,211,Michael Irvin,Dallas Cowboys,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,246,Thurman Thomas,Buffalo Bills,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,257,Tim Brown,Los Angeles Raiders,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,258,Sterling Sharpe,Green Bay Packers,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,270,Barry Sanders,Detroit Lions,,true,,,,,,Key rookie card,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,272,Deion Sanders,Atlanta Falcons,,true,,,,,,Key rookie card,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,245,Troy Aikman,Dallas Cowboys,,true,,,,,,Key rookie card - #1 overall pick,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,252,Derrick Thomas,Kansas City Chiefs,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,73,Chris Carter,Philadelphia Eagles,,true,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,6,Steve Young,San Francisco 49ers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,10,Warren Moon,Houston Oilers,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,15,Jim Kelly,Buffalo Bills,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,30,Andre Reed,Buffalo Bills,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,55,Bruce Smith,Buffalo Bills,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
SPORTS,Football,1989,Score,Score,1989 Score Football,1989 Score Football,Base,60,Reggie White,Philadelphia Eagles,,,,,,,,Public checklist data,Beckett,https://www.beckett.com/football/1989/score,PUBLIC_FACTS_ONLY
